bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-028_task-rest_run-02_bold	0.001527966804979253	0.004768271908713693	1	20.365752208458332	1.2986329857083347	0.9925810096250001	0.48316062796702985	2870.95263671875	0.08465740410764475	6	2.4896265560165975	2.3270832547169813	2.2801509433962264	2.6712513207547173	2.0298475	0.0411934	-0.013479651883244514	0.02267259918153286	241	64	64	40	4.488502327640577	2.5	3.3125	3.3125	4.0	35.76139214837386	7.911314010620117	26.816381454467773	10.062241554260254	101584.0	3.8713696002960205	112.53693847656234	42.84983444213867	2.4983290448493483	97.95635223388672	560.9884643554688	557.5809326171875	29103.0	366.053955078125	755.095458984375	124.22213745117188	75.91663360595703
sub-028_task-rest_run-03_bold	0.0010689626556016597	0.0043062262655601665	1	20.08336108129166	1.3281163640000002	0.9957520092916663	0.48199748146534316	3006.63916015625	0.06887654897535919	0	0.0	2.3498122327044024	2.2970445283018868	2.7054671698113206	2.046925	0.0475314	-0.011591047048568726	0.02468380518257618	241	64	64	40	4.455342120300119	2.5	3.3125	3.3125	4.0	37.11386444410084	7.6283278465271	26.42757225036621	9.800830841064453	101705.0	3.817427635192871	111.5228271484375	42.80158996582031	2.4169086005469804	97.904052734375	559.1084594726562	555.3589477539062	29170.0	362.9624725341797	754.6319824218749	124.64798736572266	81.32145690917969
sub-029_task-rest_run-01_bold	0.0009067901234567901	0.003599309794238683	1	18.76527750400827	1.0741889753305784	0.9978820040909093	0.5098888845957086	756.3754272460938	0.08080032470321435	0	0.0	2.205051823899371	2.1850505660377357	2.494864905660377	1.93524	0.00899351	-0.0056756786070764065	0.024655792862176895	243	64	64	40	4.148899771821383	2.5	3.3125	3.3125	4.0	58.10363197878062	7.40995979309082	42.476497650146484	24.67695426940918	100760.0	19.06584358215332	140.54999237060485	50.441078186035156	1.5838304052616161	140.6519317626953	717.5875854492188	708.2098388671875	29585.0	454.5324951171875	1014.7826904296875	170.69534301757812	70.58548736572266
sub-029_task-rest_run-02_bold	0.0017013636363636363	0.005017730909090909	2	19.948938306390044	1.1024565692116177	1.0148642500829888	0.5107353984464438	744.9297485351562	0.09085812322895417	1	0.4132231404958678	2.214556179245283	2.1916256603773583	2.5067803773584907	1.9452625	0.0122935	-0.00509669678285718	0.025291703641414642	242	64	64	40	4.095040003791821	2.5	3.3125	3.3125	4.0	54.531213350670654	7.651943683624268	42.73613739013672	24.830577850341797	100711.0	18.991735458374023	142.26032257080078	50.52140808105469	1.620696521643434	140.57763671875	715.2811889648438	705.5950317382812	29701.0	448.8099060058594	1015.6156616210938	172.30189514160156	63.28254699707031
sub-029_task-rest_run-03_bold	0.0008136213991769546	0.004422977983539095	1	19.64773871289257	1.0738978007438014	0.9901891625206612	0.5116318461152094	734.3411865234375	0.09390171770591041	2	0.823045267489712	2.2150818081761003	2.192081509433962	2.5074264150943395	1.9457375	0.00872586	-0.00536537729203701	0.025725392624735832	243	64	64	40	4.130108773106487	2.5	3.3125	3.3125	4.0	54.050917075738155	7.742476940155029	43.26142883300781	24.983537673950195	100719.0	19.069957733154297	145.27941589355436	51.563880920410156	1.5932204619525638	139.80996704101562	716.5174560546875	707.1727905273438	29698.0	451.94834899902344	1014.9174530029295	171.22088623046875	65.44449615478516
sub-030_task-rest_run-01_bold	0.0009215767634854772	0.002349773900414938	3	15.603642491624992	1.0601836943333336	1.0117498375416665	0.44521308637876744	13555.306640625	0.05760060244191019	0	0.0	2.688827383135999	2.724525283018868	3.000108679245283	2.341848187143844	0.0133078	-0.0069859144277870655	0.018084945157170296	241	64	64	40	3.7475169475508117	2.5	3.3125	3.3125	4.000050067901611	116.91885323827066	59.6732063293457	158.73451232910156	43.423240661621094	101469.0	0.7634854912757874	733.6813720703122	362.2862548828125	1.4923024946907182	1073.9947509765625	5042.04345703125	5001.3115234375	29415.0	2784.66240234375	7216.824023437499	1334.5440673828125	79.89503479003906
sub-030_task-rest_run-02_bold	0.0009680497925311204	0.0040000479668049795	3	18.38760949729166	1.0842111152499998	1.006327196125	0.44512924378088736	13469.0185546875	0.1367718869364192	43	17.842323651452283	2.6901628954723495	2.7288754716981134	2.990662641509434	2.3509505732095017	0.0319172	-0.006585146766155958	0.018638594076037407	241	64	64	40	3.7476989974467125	2.5	3.3125	3.3125	4.000050067901611	98.15745910766645	60.731327056884766	159.4176025390625	44.15768051147461	101553.0	0.7219917178153992	737.2888427734364	355.3428955078125	1.5514322259928734	1064.13916015625	5033.94580078125	4993.427734375	29375.0	2802.3295166015623	7205.7974609375	1332.3756103515625	69.1055908203125
sub-030_task-rest_run-03_bold	0.0008026141078838175	0.003592883651452282	3	18.201607425791675	1.0894740824583338	1.0047244277499996	0.44676962496193934	13513.7724609375	0.1353870786168102	39	16.182572614107883	2.6912781817873133	2.7296815094339624	2.993992452830189	2.3501605830977885	0.0394812	-0.006752275861799717	0.020610252395272255	241	64	64	40	3.745040445547522	2.5	3.3125	3.3125	4.000050067901611	100.95748265860976	60.62367248535156	162.6291961669922	43.81120681762695	101378.0	0.8215768337249756	756.9419555664062	362.89495849609375	1.6035848333136729	1061.869384765625	5046.005859375	5008.95068359375	29532.0	2802.838793945313	7227.026293945311	1337.4664306640625	72.71664428710938
sub-031_task-rest_run-01_bold	0.00118516	0.009607483480000002	0	16.71958148879518	1.089822543493976	0.901536160240964	0.45268477298936904	50409.75390625	0.14438217044935883	47	18.8	2.610370597484277	2.6026052830188684	2.9135215094339624	2.314985	0.0184893	-0.007855463773012161	0.019575228914618492	250	64	64	40	3.673504306463321	2.5	3.3125	3.3125	4.0	57.49557402001969	5338.1572265625	28266.3125	3694.421142578125	100638.0	12.316846609115606	142070.0570312499	69244.6953125	3.223448801507952	153210.71875	803487.75	801472.5	29802.0	440141.6796875	1118010.0812499998	218172.890625	54.13762664794922
sub-031_task-rest_run-02_bold	0.001247004048582996	0.003656144736842105	3	17.98344779975609	1.2329454544715448	0.9927126543495935	0.4529378580751209	56279.73828125	0.17304373906264095	76	30.76923076923077	2.568103647798742	2.557382641509434	2.8672483018867925	2.27968	0.0172735	-0.0068157752975821495	0.02035161294043064	247	64	64	40	3.8221140955430304	2.5	3.3125	3.3125	4.0	54.697090689503874	5092.01708984375	28866.85546875	3543.3515625	100751.0	14.279989242553711	145590.0703125	70825.8359375	3.1416535910667944	152488.234375	814842.6875	812258.5625	29536.0	463636.5703125	1125561.9375	212511.921875	83.61318969726562
