,Label,Description,type,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
21,46,right cerebellum white matter,inner,12372.337100112152,3588.58799575558,0.930345906915037,2.72715044021606,1.69438608960624,109.746298519408,90.6646658663465,104.379851940776,14.7591400146484,27.5898513793945,40.2503967285156,96.0,126.0,71.0,115.0,92.0,120.0,459816.0,109.746298519408,90.6646658663465,104.379851940776
22,49,right thalamus proper,inner,7811.306466467367,2197.83749822069,0.875610652791689,2.07031798362732,2.0504581364004,107.111075899224,114.182379971478,145.781492631913,15.4465169906616,18.6505088806152,31.9792022705078,97.0,118.0,100.0,129.0,133.0,158.0,309239.0,107.111075899224,114.182379971478,145.781492631913
23,50,right caudate,inner,2748.99566820219,1430.47135003897,0.977810553289814,4.77347230911255,1.62855924705133,108.517334533994,138.736605132823,154.963079693832,7.53727960586548,15.099983215332,35.9789962768555,103.0,114.0,112.0,153.0,144.0,163.0,111050.0,108.517334533994,138.736605132823,154.963079693832
24,51,right putamen,inner,3832.008369542539,1625.85785633946,0.953468139815436,3.31681799888611,1.88229171364376,117.669573643411,133.113372093023,145.049095607235,9.90115833282471,17.348819732666,32.8403396606445,108.0,124.0,115.0,149.0,135.0,154.0,157896.0,117.669573643411,133.113372093023,145.049095607235
25,52,right palladium,inner,1324.369817639056,695.975103177635,0.930002324872386,2.72069144248962,2.12783912762571,113.944859813084,128.365420560748,142.191588785047,7.46842670440674,10.4579820632935,20.3192844390869,107.0,120.0,118.0,138.0,136.0,149.0,55640.0,113.944859813084,128.365420560748,142.191588785047
26,53,right hippocampus,inner,3403.754204212527,1680.71626908415,0.982512227376909,5.37062501907349,1.70234968337987,120.200727272727,116.413090909091,127.817090909091,7.32609415054321,16.8933544158936,39.345703125,109.0,129.0,97.0,132.0,119.0,141.0,145750.0,120.200727272727,116.413090909091,127.817090909091
27,54,right amygdala,inner,575.5438927123,430.63363936552,0.945456634350476,3.06985759735107,0.746168394963563,116.101075268817,130.017204301075,127.105376344086,5.46517992019653,8.43072891235352,16.7773246765137,110.0,122.0,123.0,135.0,120.0,132.0,25110.0,116.101075268817,130.017204301075,127.105376344086
28,57,right lesion,inner,,,,,,,,,,,,,,,,,,,,,
29,58,right accumbens area,inner,,,,,,,,,,,,,,,,,,,,,
30,60,right ventral DC,inner,4790.010461928174,1818.58804915742,0.839319901858563,1.83945989608765,1.98691158462948,105.803875968992,118.179069767442,132.501291989664,14.0123653411865,20.1463012695312,25.7751846313477,93.0,121.0,70.0,134.0,117.0,141.0,232200.0,105.803875968992,118.179069767442,132.501291989664
